SERVICE_NAME,BADCODE,CODE,PRICE,CURRENCY
International,1473422,+1473422,6.14,RUR
International,1473441,+1473441,6.14,RUR
International,14734410,+14734410,6.14,RUR
International,14734411,+14734411,6.14,RUR
International,14734412,+14734412,6.14,RUR
International,14734413,+14734413,6.14,RUR
International,14734414,+14734414,6.14,RUR
International,14734415,+14734415,6.14,RUR
International,14734416,+14734416,6.14,RUR
International,14734417,+14734417,6.14,RUR
International,14734418,+14734418,6.14,RUR
International,14734419,+14734419,6.14,RUR
International,1473446,+1473446,6.14,RUR
International,1473449,+1473449,6.14,RUR
International,1473455,+1473455,6.14,RUR
International,1473456,+1473456,6.14,RUR
International,1473457,+1473457,6.14,RUR
International,1473458,+1473458,6.14,RUR
International,1473459,+1473459,6.14,RUR
International,1473533,+1473533,6.14,RUR
International,1473534,+1473534,6.14,RUR
International,1473535,+1473535,6.14,RUR
International,1473536,+1473536,6.14,RUR
International,1473537,+1473537,6.14,RUR
International,1473538,+1473538,6.14,RUR
International,1474,+1474,2.14,RUR
International,1506,+1506,2.14,RUR
International,1514,+1514,2.14,RUR
International,1519,+1519,2.14,RUR
International,1579,+1579,2.14,RUR
International,1600,+1600,2.14,RUR
International,1604,+1604,2.14,RUR
International,1613,+1613,2.14,RUR
International,1647,+1647,2.14,RUR
International,1649,+1649,6.14,RUR
International,1649231,+1649231,6.14,RUR
International,1649232,+1649232,6.14,RUR
International,1649241,+1649241,6.14,RUR
International,1649242,+1649242,6.14,RUR
International,1649243,+1649243,6.14,RUR
International,1649244,+1649244,6.14,RUR
International,1649245,+1649245,6.14,RUR
International,1649246,+1649246,6.14,RUR
International,1649247,+1649247,6.14,RUR
International,16493,+16493,6.14,RUR
International,1649331,+1649331,6.14,RUR
International,1649332,+1649332,6.14,RUR
International,1649333,+1649333,6.14,RUR
International,1649341,+1649341,6.14,RUR
International,1649342,+1649342,6.14,RUR
International,1649343,+1649343,6.14,RUR
International,1649344,+1649344,6.14,RUR
International,1649345,+1649345,6.14,RUR
International,1649431,+1649431,6.14,RUR
International,1649432,+1649432,6.14,RUR
International,1649441,+1649441,6.14,RUR
International,1649442,+1649442,6.14,RUR
International,1664,+1664,6.14,RUR
International,1664349,+1664349,6.14,RUR
International,1664413,+1664413,6.14,RUR
International,1664492,+1664492,6.14,RUR
International,1664493,+1664493,6.14,RUR
International,1664495,+1664495,6.14,RUR
International,1664496,+1664496,6.14,RUR
International,1670,+1670,6.14,RUR
International,1671,+1671,6.14,RUR
International,1684,+1684,6.14,RUR
International,1705,+1705,2.14,RUR
International,1709,+1709,2.14,RUR
International,1758,+1758,6.14,RUR
